id,first_name,surname,area,is_manager,manager_id,salary
1,Jeane,Haimes,business,false,687,66
2,Nina,Faulo,admin,false,562,46
3,Chloe,Loffill,business,false,446,73
4,Louise,Beasant,business,false,76,39
5,Lolita,Ochterlony,business,false,430,51
6,Horatio,Reynolds,business,false,635,51
7,Hastie,Mitchley,business,false,172,54
8,Kelcy,Williamson,business,false,144,33
9,Priscella,Mant,business,false,423,67
10,Jaquelin,Divis,admin,false,644,69
11,Krispin,Ouldred,business,false,694,78
12,Doe,Knell,business,false,49,63
13,Doti,Proschke,technical,false,660,53
14,Camile,Scamerdine,business,false,882,57
15,Wilden,Petrovic,technical,false,574,58
16,Sofia,Woolpert,business,false,950,59
17,Sheppard,Markwick,business,false,858,53
18,Juliet,Selvester,technical,false,30,59
19,Faunie,Witson,technical,false,428,50
20,Darren,Grice,business,false,132,72
21,Aksel,Ferrero,technical,false,187,74
22,Christie,Varley,admin,false,641,58
23,Zaria,Frunks,business,true,681,74
24,Salomi,Petlyura,business,false,196,53
25,Keeley,Courtenay,technical,false,866,55
26,Rolfe,Celiz,technical,false,561,79
27,Aron,Yurshev,business,false,250,57
28,Desmond,McPhater,business,false,653,39
29,Clare,Vellender,business,false,858,33
30,Nedi,Antonutti,technical,true,274,72
31,Davon,Matuska,business,false,515,39
32,Reginauld,Cooksley,business,false,144,74
33,Karie,Klejna,technical,false,564,78
34,Rennie,Nehl,admin,false,473,58
35,Nance,Spight,business,false,275,70
36,Noelyn,Stanford,business,false,834,56
37,Gracie,Friberg,admin,false,180,40
38,Helenka,Haskins,business,false,686,57
39,Dougy,Negus,business,false,167,57
40,Wendell,Brislane,business,false,537,47
41,Abe,Bradbrook,technical,true,777,65
42,Amaleta,Lorenc,business,false,446,73
43,Ursa,Annion,business,false,659,54
44,Lu,Braiden,business,true,614,72
45,Christabel,Maddigan,business,false,657,44
46,Alie,Cramond,admin,false,436,57
47,Tedman,Grissett,business,false,759,67
48,Kenneth,Baudacci,business,false,250,43
49,Nickolaus,Choldcroft,business,true,899,83
50,Nelie,Brandassi,admin,false,180,68
51,Damian,Sicha,admin,false,473,47
52,Phillip,Edgler,technical,false,632,54
53,Fan,Asaaf,technical,false,807,50
54,Elisabeth,Cowle,technical,false,561,45
55,Celestina,Brittlebank,business,false,586,51
56,Deloria,Reckus,technical,false,981,53
57,Elnar,Kinver,business,false,619,48
58,Des,Yeo,admin,false,232,67
59,Jarret,Blacket,admin,true,73,88
60,Carly,Eakeley,admin,false,59,53
61,Llewellyn,McMarquis,technical,false,757,47
62,Abbye,Jenteau,technical,false,229,59
63,Phineas,Jostan,business,false,537,46
64,Denis,Thoresby,technical,false,638,51
65,Franciskus,Starsmore,technical,false,187,73
66,Bette,McCurt,business,false,723,55
67,Casi,Tohill,business,false,80,57
68,Emelen,Meers,business,true,316,56
69,Reinwald,Turk,business,false,537,40
70,Neila,Gelling,business,false,615,41
71,Kipper,Lundie,admin,false,974,59
72,Glenden,Battany,admin,true,280,69
73,Rriocard,Mountney,admin,true,0,67
74,Violet,Eastway,business,false,167,73
75,Josepha,Ferreres,business,false,461,36
76,Alysia,Tweed,business,true,44,81
77,Joanne,Tzarkov,business,false,615,68
78,Sybila,Innocenti,business,false,586,48
79,Wilona,Eastbury,admin,false,181,42
80,Claire,Tidball,business,true,567,96
81,Nichole,Grinstead,business,false,834,62
82,Prentice,Whittleton,business,false,172,41
83,Sammy,Barnwill,admin,false,814,50
84,Gypsy,Arndtsen,technical,false,286,37
85,Hamil,Lavis,business,false,360,53
86,Blisse,Jeschner,admin,false,103,41
87,Ronni,Romain,business,false,914,50
88,Brandyn,Vane,business,false,492,48
89,Tamarra,Edeler,business,false,132,55
90,Sosanna,Dureden,admin,false,760,46
91,Linnet,Alty,business,false,196,54
92,Mae,Corser,business,false,250,59
93,Cathrine,Tweedlie,business,false,430,53
94,Serge,Pippard,business,false,657,59
95,Ferdie,Burdus,business,false,914,40
96,Elita,Bissiker,business,false,420,52
97,Allard,Ervine,business,false,515,37
98,Dael,Beveridge,business,false,144,53
99,Marven,Gunston,business,false,674,55
100,Dawna,Tregensoe,business,false,914,68
101,Sebastien,Crawforth,business,false,674,43
102,Archaimbaud,Petzolt,business,false,586,42
103,Thomasin,Eckersley,admin,true,280,92
104,Palm,Singh,technical,false,867,66
105,Diane,Pudan,technical,true,824,89
106,Willis,Rowen,business,false,515,53
107,Lucy,Silverlock,admin,false,436,44
108,Zedekiah,Smail,technical,false,866,55
109,Tate,Leachman,business,false,275,53
110,Stavros,Shivlin,admin,false,641,61
111,Mychal,Woodson,admin,false,383,67
112,Yolande,Marton,business,false,759,52
113,Rod,Ruckhard,business,false,223,45
114,Amble,Scardifield,admin,false,469,69
115,Clemmie,McCorrie,business,false,759,72
116,Dotti,Gimbrett,technical,false,105,40
117,Charlton,Rimell,technical,false,187,48
118,Tomasina,Greening,business,false,80,62
119,Ashlen,Ridout,business,false,234,58
120,Marcela,Maytom,admin,false,181,64
121,Cherida,Brewett,technical,false,564,41
122,Quintin,Pope,business,false,544,58
123,Walt,Shafe,business,false,751,54
124,Dov,Godard,business,false,420,45
125,Bili,Kittow,business,false,790,66
126,Shelli,Le Brun,admin,false,469,57
127,Grenville,Gammie,business,false,687,46
128,Marion,Cantera,admin,false,181,63
129,Ellynn,Wisham,business,false,615,53
130,Rudolph,Slowgrove,technical,true,215,106
131,Emory,Belison,business,true,925,67
132,Karalee,Iannitti,business,true,899,89
133,Patience,Colnet,business,false,820,62
134,Hyacinthie,Lyburn,business,false,678,63
135,Joanie,Feldmann,business,false,478,55
136,Sauveur,Caig,business,false,399,51
137,Lemuel,O' Gara,business,false,477,51
138,Garvey,Styche,technical,false,669,52
139,Karl,Maulin,technical,false,757,61
140,Brigida,Cory,technical,false,807,68
141,Enriqueta,Poytheras,technical,false,30,33
142,Kally,Wolver,admin,false,473,72
143,Becka,Chinery,admin,false,974,55
144,Brandyn,Spat,business,true,417,57
145,Jasen,Pentecust,technical,false,690,53
146,Case,Mallatratt,business,false,987,65
147,Kelcie,Carlill,business,false,449,53
148,Audra,Itzkov,admin,false,644,36
149,Brent,Kuhnert,business,false,449,54
150,Berna,Matskevich,admin,false,760,50
151,Tim,Segar,business,false,687,41
152,Jonell,Learoid,technical,false,867,48
153,Moselle,Wolfers,technical,false,286,56
154,Jane,Corre,technical,false,30,63
155,Adrianna,Santos,admin,false,380,64
156,Karita,Klimas,admin,false,814,52
157,Evaleen,Myner,technical,false,690,53
158,Denver,Spradbrow,technical,false,286,53
159,Whitman,Braycotton,admin,false,760,54
160,Jackelyn,Karoly,business,false,399,53
161,Joannes,Gilpillan,business,false,873,42
162,Ruthanne,Hayselden,admin,false,296,50
163,Georges,Gatheral,technical,false,981,34
164,Saleem,Tuxell,business,false,715,41
165,Gib,Petrasch,business,false,723,67
166,Melodie,Peniello,business,false,678,63
167,Shannon,Solon,business,true,417,95
168,Michele,Dorro,business,false,300,48
169,Aristotle,Spoerl,business,false,909,53
170,Emelyne,Olivazzi,business,false,489,61
171,Kimmy,Ewbanche,business,false,667,47
172,Hazel,Osler,business,true,23,75
173,Buck,Janny,business,false,736,33
174,Margie,Nortunen,business,false,544,67
175,Pail,Occleshaw,business,false,300,62
176,Kesley,Poulsum,business,false,751,84
177,Emmalyn,Govey,technical,false,506,33
178,Fabiano,Foch,admin,false,72,58
179,Abbie,Dominey,admin,false,380,55
180,Deck,Riatt,admin,true,73,75
181,Reyna,Ramstead,admin,true,971,108
182,Fletcher,Fluit,business,false,715,34
183,Inger,Fisbey,technical,false,866,66
184,Hamish,Fearnyhough,technical,false,564,50
185,Max,Burnall,business,false,759,51
186,Emlynn,McCorley,business,false,478,57
187,Lorrayne,Nelm,technical,true,214,87
188,Hastie,Extall,technical,false,981,58
189,Amelie,MacCoughen,business,false,687,64
190,Ronnica,Jayne,business,false,250,69
191,Dallas,Meagh,business,false,167,46
192,Blondy,Thibodeaux,business,false,759,61
193,Ximenez,Gumbley,business,false,144,48
194,Obadiah,Fuentez,business,false,49,54
195,Jada,Ambroziak,admin,false,562,48
196,Amalee,Gantley,business,true,925,65
197,Alexandr,Bunson,technical,false,564,48
198,Lira,Ghelardoni,business,false,687,64
199,Bern,Egan,business,false,723,74
200,Dev,Botterman,business,false,250,54
201,Fanchon,Castilljo,admin,false,296,51
202,Miof mela,Enriques,technical,false,660,62
203,Hannis,Osan,technical,false,229,56
204,Raimundo,Trimmell,admin,false,562,63
205,Robby,Becke,business,false,172,62
206,Amye,Jirak,technical,false,506,39
207,Elyssa,Tucknott,admin,false,383,57
208,Luella,Shyram,business,false,659,58
209,Myrlene,Battleson,admin,false,469,47
210,Wiley,MacCarrick,technical,false,646,59
211,Finley,Hardiman,admin,false,644,63
212,Eamon,Peat,admin,false,760,61
213,Giavani,Maddrell,business,false,914,59
214,Charlotta,Voysey,technical,true,0,69
215,Lurline,Bushell,technical,true,0,67
216,Charmine,Binnie,business,false,830,55
217,Dionne,Bucke,business,false,563,75
218,Mathew,Brosenius,business,false,544,43
219,Roanna,Speedy,technical,false,970,48
220,Sunny,Cheney,admin,false,232,57
221,Auberon,Tallman,business,false,544,44
222,Amalee,Gergler,business,false,736,61
223,Celia,Honniebal,business,true,553,54
224,Erskine,Wardel,business,false,492,61
225,Paige,Jahnig,business,false,544,53
226,Nealson,Kaplin,business,false,723,35
227,Kristian,Stait,admin,false,59,72
228,Gipsy,Petche,technical,false,669,57
229,Andriette,Konzel,technical,true,130,83
230,Dionis,Oliphant,business,false,563,52
231,Lenci,Labat,technical,false,286,57
232,Ulrika,Leindecker,admin,true,280,73
233,Ruggiero,Yewdale,business,false,420,42
234,Lammond,Lightollers,business,true,263,90
235,Gregory,Nern,admin,false,641,68
236,Brigham,Firminger,business,false,834,48
237,Muffin,Lidgely,business,false,790,45
238,Joycelin,Benito,technical,false,574,41
239,Rochelle,Farragher,technical,false,187,62
240,Stacee,Kemmish,admin,false,974,64
241,Nananne,Otterwell,business,false,939,65
242,Claiborne,Phelipeau,business,false,449,68
243,Dyane,Fallowfield,business,false,820,62
244,Rustin,Franzman,business,false,987,64
245,Andros,Crauford,business,false,790,57
246,Dennis,Brumby,business,false,987,42
247,Annabelle,Munby,business,false,80,44
248,Dianemarie,Braznell,business,false,667,63
249,Tootsie,Vondrasek,business,false,446,58
250,Lynnea,Sliman,business,true,925,74
251,Bess,Cromer,technical,false,669,42
252,Massimo,Longbothom,business,false,478,45
253,Thorsten,Shekle,business,false,820,62
254,Kleon,Ashe,technical,false,757,41
255,Sophia,Smythin,business,false,399,56
256,Darrelle,Skippings,technical,false,690,50
257,Ambros,Woolaghan,technical,false,286,36
258,Amelia,Bercevelo,technical,false,646,52
259,Raynor,McGaugan,business,false,830,55
260,Val,Tournay,business,false,653,52
261,Sim,Shirley,business,false,275,67
262,Brigg,Tomkies,admin,false,760,43
263,Brockie,Mincini,business,true,0,80
264,Gillian,Triggol,admin,false,760,57
265,Paddie,Robelet,admin,false,473,52
266,Nathanial,Silverwood,technical,false,506,44
267,Worthington,Avann,business,false,489,47
268,Dur,Astlett,admin,false,232,47
269,Stacee,Holworth,business,false,537,48
270,El,Fawssett,admin,false,380,52
271,Dori,Klees,business,false,653,48
272,Aluin,Golton,business,false,858,48
273,Grethel,Roseborough,admin,false,644,65
274,Marji,Yardley,technical,true,0,56
275,Jaime,Denning,business,true,681,97
276,Roselia,Phillipps,technical,false,30,72
277,Timothee,Gotliffe,business,false,858,33
278,Fax,Lergan,technical,false,638,76
279,Kin,Geffinger,admin,false,814,62
280,Piggy,Wills,admin,true,0,83
281,Vale,Hetterich,business,false,653,33
282,Suzanna,Tregien,admin,false,644,56
283,Sydney,Stitle,technical,false,690,50
284,Fannie,Giacomuzzo,admin,false,644,46
285,Bebe,Hexum,business,false,749,74
286,Milissent,Ludgate,technical,true,130,65
287,Teri,Moden,business,false,619,54
288,Brit,Vautre,business,false,489,39
289,Mortie,Rootham,business,false,80,69
290,Rey,Spillard,business,false,478,59
291,Osborn,Sprigging,business,false,820,73
292,Yorker,Braganca,business,false,657,51
293,Farrell,Vernazza,business,false,461,43
294,Brnaby,Mayes,technical,false,807,41
295,Sacha,Gerger,business,false,834,59
296,Brett,Wingatt,admin,true,280,66
297,Jeannie,Vobes,admin,false,473,61
298,Melodee,Thompsett,technical,false,807,52
299,Bendite,Pachmann,technical,false,690,83
300,Ginni,Edgcumbe,business,true,681,77
301,Dulcine,Brauninger,business,false,300,56
302,Tami,Raison,business,false,657,50
303,Fleurette,Meekin,business,false,68,59
304,Di,Nerne,admin,false,380,64
305,Karylin,Hercules,business,false,144,41
306,Delaney,Pasticznyk,technical,false,757,51
307,Rhona,Possel,admin,false,644,46
308,Marietta,Lewendon,business,false,76,54
309,Kinnie,Kubacki,admin,false,760,68
310,Feliza,Nasi,technical,false,638,44
311,Jeannette,Cheasman,admin,false,473,53
312,Ardyth,Edgerley,business,false,300,61
313,Nicolette,Rickardes,business,false,172,54
314,Abagail,Makinson,admin,false,383,66
315,Kacy,McArthur,admin,false,473,62
316,Allina,Keam,business,true,0,89
317,Clarke,Canete,business,false,461,45
318,Lee,Juett,business,false,653,72
319,Ruby,Pendrigh,admin,false,641,46
320,Joletta,Swancock,business,false,446,52
321,Suellen,Billam,business,false,759,33
322,Giovanni,Kinkade,technical,false,981,56
323,Fred,Forsdicke,business,false,563,57
324,Jermain,Bartoleyn,business,false,477,40
325,Ursulina,Sagg,admin,false,814,53
326,Mathian,Garstang,technical,false,30,52
327,Burch,Parsall,business,false,987,59
328,Broddie,Pitkaithly,business,false,420,76
329,Norah,Gobolos,business,false,659,48
330,Livvyy,Borrington,business,false,715,57
331,Gunilla,Meron,admin,false,72,51
332,Iago,Hofler,admin,false,562,74
333,Tarrah,Anyon,business,false,446,52
334,Rudie,Flintoff,business,false,653,46
335,Alissa,Weekley,business,false,914,65
336,Lucy,Garfath,admin,false,383,40
337,Jedediah,Huleatt,business,false,399,63
338,Mead,Denzilow,admin,false,181,42
339,Ernst,Jecock,business,false,234,64
340,Bessie,Manser,business,false,674,33
341,Helge,Everley,business,false,489,62
342,Kylynn,Cregeen,business,false,715,61
343,Giffard,Gridley,admin,false,72,52
344,Lyssa,McGiven,business,false,834,46
345,Tabbie,Garaghan,business,false,686,68
346,Ekaterina,Mompesson,admin,false,232,75
347,Davon,Goodlatt,admin,false,436,61
348,Elissa,Bohlin,business,false,275,46
349,Linc,Youdell,technical,false,286,46
350,Merill,Agnolo,admin,false,436,70
351,Indira,Itscowicz,technical,false,41,52
352,Kassey,Langhor,business,false,586,46
353,Delia,Postians,technical,false,187,42
354,Aristotle,Thurling,technical,false,866,63
355,Germain,Como,admin,false,562,41
356,Faythe,Tattersdill,business,false,478,52
357,Morgana,Clemetts,business,false,80,54
358,Malvin,Burling,business,false,619,43
359,Venita,Tatham,business,false,362,62
360,Judith,Mackney,business,true,263,74
361,Kyle,Moar,business,false,49,55
362,Raquel,Brim,business,true,592,61
363,Duffie,Tailby,business,false,461,55
364,Gena,Odney,technical,false,187,55
365,Cletis,Blunt,business,false,858,33
366,Luise,Dyers,admin,false,473,54
367,Adelheid,Laffling,business,false,751,57
368,Dido,Wallhead,business,false,515,57
369,Yetta,Brosoli,business,false,250,64
370,Romy,Maharg,admin,false,814,54
371,Archibald,Bloxsome,business,false,68,45
372,Ora,Ciccottini,business,false,446,74
373,Rafe,Croose,business,false,586,52
374,Oby,Hasel,business,false,909,58
375,Sean,MacGillreich,business,false,820,52
376,Leslie,Ollis,admin,false,383,70
377,Eal,Flecknoe,business,false,686,41
378,Chloe,Hambatch,technical,false,660,56
379,Lorant,Cardenas,technical,false,187,72
380,Maisey,Carbonell,admin,true,280,87
381,Barbara,Ogley,business,false,751,55
382,Audie,Lissenden,business,false,759,47
383,Lew,Douglass,admin,true,971,69
384,Carolina,Elbourne,business,false,759,67
385,Aurore,Selvey,admin,false,103,59
386,Garrott,MacTague,business,false,49,33
387,Savina,Farren,business,false,537,40
388,Oneida,Fishleigh,business,false,400,62
389,Bunnie,Deegin,admin,false,641,63
390,Redford,Boscott,technical,false,807,50
391,Babara,Mallock,admin,false,296,64
392,Uriel,Scarasbrick,business,false,167,70
393,Casandra,O'Lenechan,business,false,537,42
394,Ezechiel,Bunhill,technical,false,30,41
395,Eartha,Limerick,technical,false,632,45
396,Meade,Athy,technical,false,981,81
397,Lonnie,Waldocke,technical,false,574,51
398,Phillida,Brettoner,technical,false,428,51
399,Donni,Keane,business,true,870,69
400,Alanah,Fudger,business,true,681,84
401,Alyosha,Kless,technical,false,506,50
402,Harbert,Deek,technical,false,981,70
403,Berna,Crowley,business,false,250,39
404,Maurizia,Jelphs,business,false,659,67
405,Herbie,Mogra,business,false,659,41
406,Ellwood,Peplaw,admin,false,814,35
407,Shanan,Britch,technical,false,757,51
408,Sandor,Mallabone,business,false,172,58
409,Emmalynne,Lewry,technical,false,574,43
410,Nathaniel,Mathevon,admin,false,562,56
411,Edy,Stickler,business,false,563,53
412,Forrest,Bemment,business,false,449,59
413,Jesse,Orwell,business,false,131,42
414,Rufe,Duligal,business,false,759,42
415,Jesse,Luckman,technical,false,866,34
416,Northrop,Leer,business,false,430,83
417,Beatriz,Leeb,business,true,0,76
418,Carry,Jeaves,business,false,687,62
419,Tad,Newson,business,false,619,48
420,Theodore,Novkovic,business,true,463,100
421,Adolf,Sleany,business,false,615,34
422,Camille,Eseler,business,false,515,42
423,Gallagher,De Souza,business,true,263,68
424,Brietta,Grzegorzewski,technical,false,690,47
425,Sioux,Shearwood,business,false,132,47
426,Dan,Yes,business,false,172,55
427,Gabrila,Meadmore,business,false,80,78
428,Julianne,Hunnisett,technical,true,214,56
429,Thekla,Cowpland,business,false,167,54
430,Leon,Coggeshall,business,true,23,64
431,Efrem,Bloomfield,business,false,167,42
432,Kimball,MacGray,technical,false,229,50
433,Desdemona,Ashlee,business,false,657,55
434,Nanette,Kingsnod,technical,false,506,51
435,Fransisco,Everitt,admin,false,562,55
436,Deina,Janc,admin,true,280,64
437,Tally,Drane,business,false,399,68
438,Ozzie,Rodda,business,false,715,62
439,Claudina,Noulton,business,false,635,48
440,Fidel,Tilbrook,technical,false,646,44
